,Date,Open,High,Low,Close,Volume,Yield,PercentageVolume,SMA6,EMA6,WMA6,HMA6,SMA20,EMA20,WMA20,HMA20,SMA50,EMA50,WMA50,HMA50,SMA100,EMA100,WMA100,HMA100,MACD,CCI,Stochastic Oscillator,RSI,ROC,PPO,KST,BOLU,BOLD,BOLM
299,2012-10-18 08:00,1.30903,1.30975,1.30862,1.30932,2239,0.000222,0.005047,1.30958,1.309558,1.309339,1.308943,1.309882,1.310026,1.309946,1.309964,1.310674,1.310509,1.310278,1.309821,1.311312,1.31023,1.31099,1.309778,-0.000306,-66.598084,29.649596,39.771486,-0.020617,-0.023361,-0.55301,1.311553,1.308278,1.309916
300,2012-10-18 08:15,1.30931,1.30953,1.30851,1.30925,2506,-4.6e-05,0.00407,1.309355,1.30947,1.309244,1.309188,1.309836,1.309952,1.309886,1.30965,1.310615,1.31046,1.310222,1.309746,1.311294,1.31021,1.310949,1.309715,-0.000331,-69.051508,27.762803,38.804581,-0.09767,-0.025235,-0.48714,1.311489,1.308214,1.309852
301,2012-10-18 08:30,1.30926,1.31063,1.30926,1.31042,3452,0.000886,0.003969,1.309355,1.309741,1.309549,1.309842,1.309885,1.309997,1.309942,1.309497,1.310578,1.310458,1.310214,1.309703,1.311302,1.310214,1.310932,1.309661,-0.000253,10.543659,59.299191,58.338297,-0.021363,-0.01929,-0.435817,1.311507,1.308232,1.309869
302,2012-10-18 08:45,1.31036,1.31106,1.30931,1.31024,3477,-9.2e-05,0.005033,1.309585,1.309884,1.309801,1.310361,1.309954,1.31002,1.309976,1.309456,1.310541,1.31045,1.310201,1.309686,1.311306,1.310215,1.310911,1.309613,-0.000203,17.15627,54.447439,55.20993,-0.057209,-0.015508,-0.399208,1.311563,1.308288,1.309925
303,2012-10-18 09:00,1.3102,1.31096,1.31007,1.31076,2578,0.000427,0.003452,1.30984,1.310134,1.310137,1.310771,1.310044,1.310091,1.310052,1.309558,1.310517,1.310462,1.31021,1.30971,1.311302,1.310226,1.3109,1.309578,-0.000121,45.447149,68.463612,62.002017,-0.049565,-0.009202,-0.369079,1.31164,1.308365,1.310003
304,2012-10-18 09:15,1.31077,1.31246,1.31077,1.31218,3051,0.001076,0.005539,1.310362,1.310719,1.310806,1.311615,1.310182,1.31029,1.310256,1.309912,1.310523,1.310529,1.310275,1.309806,1.311314,1.310264,1.310917,1.309573,5.9e-05,121.211491,93.396226,74.287624,0.061004,0.004488,-0.335023,1.31177,1.308495,1.310132
305,2012-10-18 09:30,1.3122,1.31285,1.31167,1.31178,3465,-0.00032,0.003405,1.310772,1.311022,1.311211,1.312171,1.310286,1.310431,1.310408,1.310366,1.310523,1.310578,1.310324,1.309949,1.311328,1.310294,1.310926,1.309589,0.000167,117.487678,76.889849,67.223229,0.090035,0.012726,-0.292378,1.311894,1.308619,1.310257
306,2012-10-18 09:45,1.31178,1.31216,1.31051,1.31094,2545,-0.00064,0.006483,1.311053,1.310998,1.311259,1.311821,1.310345,1.31048,1.31047,1.310769,1.310507,1.310592,1.31034,1.310098,1.311341,1.310307,1.310919,1.309617,0.000182,49.748681,58.7473,54.634245,0.039682,0.013921,-0.245352,1.311972,1.308697,1.310334
307,2012-10-18 10:00,1.31093,1.31142,1.31056,1.31114,2638,0.00016,0.00326,1.311173,1.311039,1.311284,1.311249,1.31044,1.310543,1.310546,1.311097,1.310497,1.310614,1.310365,1.310252,1.311352,1.310324,1.310915,1.309655,0.000209,35.580481,63.066955,56.854026,0.174197,0.015916,-0.191251,1.312057,1.308782,1.31042
308,2012-10-18 10:15,1.31117,1.31161,1.31108,1.31127,1716,7.6e-05,0.003089,1.311345,1.311105,1.311311,1.311047,1.310524,1.310612,1.310625,1.311342,1.310493,1.31064,1.310396,1.310404,1.311361,1.310342,1.310913,1.309703,0.000237,49.98705,65.87473,58.381351,0.155817,0.018089,-0.124916,1.312147,1.308872,1.310509
309,2012-10-18 10:30,1.31127,1.31149,1.31085,1.31111,2058,-0.000122,0.00311,1.311403,1.311106,1.311244,1.311072,1.310552,1.310659,1.310681,1.311503,1.310483,1.310658,1.31042,1.310543,1.311356,1.310358,1.310908,1.309756,0.000244,34.117766,62.419006,55.586952,0.157366,0.018611,-0.045539,1.312179,1.308904,1.310542
310,2012-10-18 10:45,1.31111,1.31126,1.31082,1.31093,1920,-0.000137,0.002292,1.311195,1.311056,1.311109,1.31102,1.310564,1.310685,1.310717,1.311578,1.310475,1.310669,1.310437,1.310659,1.311353,1.310369,1.3109,1.309811,0.000232,21.601251,57.333333,52.335262,0.122965,0.017713,0.039902,1.312195,1.30892,1.310558
311,2012-10-18 11:00,1.31094,1.311,1.30985,1.31043,2762,-0.000389,0.004164,1.31097,1.310877,1.31089,1.310681,1.310536,1.310661,1.310704,1.311517,1.310465,1.310659,1.310435,1.310738,1.311344,1.31037,1.310881,1.30986,0.00018,-16.278273,44.239631,44.072114,0.090128,0.013764,0.126443,1.312177,1.308902,1.31054
312,2012-10-18 11:15,1.31041,1.31056,1.30932,1.31013,2511,-0.000214,0.004938,1.310835,1.310664,1.31065,1.310227,1.310472,1.31061,1.310666,1.31133,1.310444,1.310639,1.310422,1.310781,1.311326,1.310365,1.310857,1.309899,0.000114,-41.391389,37.327189,39.72939,-0.02213,0.008688,0.20959,1.312114,1.30884,1.310477
313,2012-10-18 11:30,1.31014,1.31073,1.30992,1.31015,2172,8e-06,0.003729,1.31067,1.310517,1.310455,1.309976,1.310411,1.310567,1.310635,1.31107,1.310424,1.310619,1.310411,1.310795,1.311305,1.310361,1.310834,1.309929,6.2e-05,-21.581622,37.788018,40.18279,-0.006869,0.004733,0.278075,1.312054,1.308779,1.310416
314,2012-10-18 11:45,1.31016,1.31087,1.30984,1.31056,2183,0.000305,0.004718,1.310552,1.310529,1.310423,1.310162,1.310408,1.310566,1.310649,1.310825,1.310417,1.310617,1.310416,1.310796,1.311295,1.310365,1.310819,1.309955,5.3e-05,-9.498369,36.211699,49.218862,-0.015258,0.004076,0.331962,1.312026,1.308752,1.310389
